剧名称	group_title	发弹幕时刻相对于视频起始时间偏移量	累计点赞数	弹幕内容
北往	第4集	22349	1	[笑哭][笑哭][笑哭]这哥们儿也熟人啊[笑哭]
那年冬至	第2集	163539	0	男主家庭氛围好好呀[爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	101341	0	真是样样精通啊
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	68643	0	装的。 包装的
那年冬至	第4集	39715	0	验货好啊[偷笑][偷笑][偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	250505	0	别想勾引
撕夜	第4集	71256	0	哇哦
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	115492	11	哈哈[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	172015	0	哈哈哈哈哈
北往	第1集	244640	0	抖音说搞笑我才来看，结果是催泪，被骗了[哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	143631	0	说错了，还没有老四帅呢。
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	184996	0	老孩子[偷笑][偷笑][偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	18408	0	席星野（纪舟野）
家里家外	第1集	91905	0	爱上了[探究][探究][探究]
家里家外	第3集	10628	0	这部剧质感好好，四川话也蛮亲切
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	155838	0	666变脸真快
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	149752	0	变得太快了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	102228	0	哈哈哈哈哈，笑死我了，是这种人设吗[笑哭][笑哭][笑哭]
那年冬至	第4集	59239	0	[捂脸][捂脸][捂脸]
天下第一纨绔	第1集	74144	0	伤口呢[探究][探究][探究]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	226176	0	[捂脸]
撕夜	第2集	11659	4	暗号正确
北往	第2集	97489	0	他们是在南方，回北方过年，能不热吗？
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	82146	0	666转起来了
天下第一纨绔	第1集	8429	0	大制作啊
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	256425	0	哈哈哈哈
那年冬至	第2集	144740	0	我也喜欢 多多益善[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	125165	0	老baby
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	222500	0	对的对的
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	124792	0	等了几个月终于上
幸得相遇离婚时	第5集	41141	0	[没看够]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	116902	0	[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	201078	0	六
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	271102	0	这个捏捏乐我也有
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	119329	0	我要恋爱了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	79668	0	[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	36853	0	好久没看手机了，终于懂了。
北往	第1集	243389	0	在外省过年的我流泪了
家里家外	第1集	20900	0	不愧是四川人[捂脸]家乡话说的就是6
北往	第3集	144209	0	[赞][赞][赞]
北往	第1集	61183	0	[捂脸]
天下第一纨绔	第3集	78633	0	你就宠着他吧[偷笑]
北往	第1集	8596	0	大半夜的 给我看饿了
那年冬至	第3集	80034	0	邓灵枢好萌[爱心][爱心]
天下第一纨绔	第1集	82566	0	这是如烟大婶吧
那年冬至	第2集	92376	0	小侄女太有眼光了能给我一张小卡片吗？
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	126745	0	鸡皮疙瘩
北往	第5集	87428	1	哈哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	21254	0	等了已经好多个月了，都不知道多久了。[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	131441	0	妈妈～
幸得相遇离婚时	第2集	64977	0	又要破产一个
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	58111	0	哈哈哈开始了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	76221	0	啊啊啊啊陈添祥好帅[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	163769	0	这个歌好雷霆[偷笑]
北往	第1集	235168	0	真喜欢这样的爸爸妈妈
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	191669	0	好搞笑，这句“我能不能不上学”，像极了幼儿园小班的
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	96394	0	添添好帅[没看够]
那年冬至	第4集	41491	0	[笑哭][笑哭]
天下第一纨绔	第2集	41616	0	青楼侠[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	175000	0	感觉樱宝可爱到发腻啊，老爷子都开始讨厌上大学了，不像我们小学
荒年全村啃树皮，我有系统满仓肉	第2集	119800	0	[爽][爽]
撕夜	第3集	124160	0	哇哦
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	159004	0	老年大学
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	94003	0	英宝来了。[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	79512	0	[笑哭]
北往	第5集	133215	0	[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	57765	0	《七七四十九天》[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	70135	0	英宝:我信
那年冬至	第1集	17883	0	翅翅苏苏我来啦
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	77893	0	一个字，“帅”[爱慕][爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	59624	0	老大：ber，我是ATM吗？
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	180276	0	我？？？
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	245436	0	好可爱
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	172666	0	[笑哭][笑哭][笑哭]
那年冬至	第1集	121108	0	给翅翅整不会了[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	5737	0	啊啊啊啊啊[爱慕]
家里家外	第1集	25423	1	[送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	19614	0	二刷
荒年全村啃树皮，我有系统满仓肉	第5集	28857	0	[马上有福]
幸得相遇离婚时	第4集	81460	0	女主像汤唯
北往	第2集	127074	0	闺蜜[笑哭]你小不要想了。她跟人家老公跑路了
那年冬至	第2集	46244	0	有点不像演的[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	12723	0	家人们来回忆三了，过年不是要看四吗？我来回忆三
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	125477	0	嘎嘣脆!
家里家外	第1集	68951	0	二刷
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	194145	0	哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	103565	0	[赞][赞]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	19668	0	四刷
那年冬至	第3集	77774	0	邓灵枢萌萌哒
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	1991	0	[偷笑][偷笑][偷笑]
天下第一纨绔	第3集	71708	0	捧杀，顾廷烨的后娘
家里家外	第3集	81735	2	[赞][赞][送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	179796	0	有点像王鹤棣哎
幸得相遇离婚时	第3集	77099	0	这么多年咋不去追呢？
家里家外	第2集	127762	2	有意思
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	168179	0	这个兵哥哥也很帅啊
天下第一纨绔	第1集	207870	0	大哥你一个皇帝进青楼，你好意思说人家纨绔。
那年冬至	第4集	38744	0	哈哈哈哈，被气有活力
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	204066	0	惊不惊喜[捂脸]意不意外[捂脸]
家里家外	第2集	106685	1	有点意思[捂脸]
北往	第1集	131662	0	还有苁蓉烟呢？
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	104488	0	[吐][吐][吐][吐]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	174944	0	这兵哥哥有点眼熟啊
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	192615	0	哈哈哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	3116	0	根本看不够啊，四什么时候出？不能让我重刷30遍吧
天下第一纨绔	第3集	47111	1	范闲
北往	第4集	14392	0	估计最后一天坐飞机了
幸得相遇离婚时	第4集	48369	0	江辞云经典台词特好[赞]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	137565	0	[捂脸][捂脸][捂脸][捂脸][捂脸]太搞笑了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	83966	0	哈哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	83798	0	[捂脸][捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	128666	0	方圆百里[笑哭]
云渺1：我修仙多年强亿点怎么了	第1集	76176	0	看过另外一个女主演的！比这个好看
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	198487	0	这个大白腿好刺我眼。
那年冬至	第2集	181111	0	嗷～～～女主暗恋他！
北往	第2集	2002	0	勐腊县到佳木斯啊！[捂脸]
北往	第3集	52736	0	像田馥甄
北往	第4集	26600	0	呦，都是老熟人[笑哭]
天下第一纨绔	第1集	72279	0	有辱如烟大帝之名
天下第一纨绔	第3集	102121	0	这是小妈生的。这个不是后妈
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	141208	0	[没看够][没看够][没看够][没看够]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	95675	0	这三少出场怎么有点渣男的味道？
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	127152	0	第二部的结局好看，升华了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	93936	0	的确帅
北往	第2集	61182	0	交警叔叔他们两个无证驾驶[笑哭]
北往	第2集	29879	0	为什么不做绿皮啊[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	107483	2	倒反天罡啊！老三
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	197634	0	怎麼那麼可愛[捂脸][捂脸][捂脸]
家里家外	第2集	112457	0	上系统
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	29098	0	年纪看着不小呀[偷笑]
家里家外	第2集	73468	0	川渝的女娃儿就是这么直爽
北往	第5集	176916	0	李世鑫：一想到一会儿要干啥就憋不住笑
那年冬至	第1集	155151	0	哈哈来捏
荒年全村啃树皮，我有系统满仓肉	第1集	53662	0	[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	189730	0	哈哈哈
天下第一纨绔	第1集	61945	0	还不睡
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	166029	0	哈哈哈[偷笑]
家里家外	第5集	70626	0	过日子
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	194389	5	[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	230014	1	可是他好可爱啊
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	96219	47	免费治疗了[捂脸]
幸得相遇离婚时	第4集	84258	0	刘萧旭原声是短剧界最好的，请多用原声
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	239415	0	好帅啊！
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	82954	0	大哥凭实力养一大家子[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	240564	0	怎么忍住不笑的
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	91244	0	英宝来了
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	61069	0	老大：亏大了
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	9189	0	等太久了[赞]
那年冬至	第1集	88644	0	好可爱[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	102988	0	好油腻
幸得相遇离婚时	第3集	2671	0	可能是他的孩子[笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	38681	0	[捂脸]小少爷那么没排面~
那年冬至	第1集	1677	0	妈呀，这开头的画面也太美了吧[送花][送花][送花][鼓掌]
撕夜	第1集	221814	0	太感人了呜呜
云渺1：我修仙多年强亿点怎么了	第1集	88110	0	对周老爷子，也是仆人也有四个。
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	98089	0	真会说[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	118848	0	[什么]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	163845	0	这个也帅[舔屏][舔屏]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	237608	0	好帅啊
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	42480	0	有问题，肯定是司机的孩子。
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	18350	0	老三死了吗 ？
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	10415	0	这个女人，肯定是会图钱的
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	68731	0	哇哇哇哇
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	64083	0	7749是多少天
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	5795	0	添添要来了吗
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	109173	5	老五吓得口不择言了[笑哭][笑哭][笑哭][笑哭]
天下第一纨绔	第1集	71479	0	勾栏
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	115243	0	想笑
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	105501	0	好油[捂脸]
家里家外	第4集	127038	0	二刷了[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	202746	0	奥特曼[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	117985	70	瓦学弟
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	861	0	三刷了，三刷了看完这个就四刷了
撕夜	第5集	68789	1	[爽][爽][爽]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	180547	0	这出场太酷炫了吧
那年冬至	第2集	77333	0	哈哈哈哈太逗了
那年冬至	第4集	45340	0	[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]
那年冬至	第3集	130470	0	扭头盖被子，转身拉掉[捂脸]
云渺1：我修仙多年强亿点怎么了	第1集	1767	0	五刷
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	118671	0	[捂脸][捂脸][捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	20036	0	终于上线了，你都不知道我等了多长时间
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	161891	0	哈哈哈哈哈老了都逃不过上学的命运[捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	0	0	[送花]
那年冬至	第3集	100769	0	4.25无聊来看看了
那年冬至	第4集	60231	0	男主没招了[捂脸][捂脸][捂脸]
北往	第2集	13862	0	哈哈哈皮皮这表情
荒年全村啃树皮，我有系统满仓肉	第1集	143052	0	我勒个逗，孙子都有了
撕夜	第1集	37989	0	[偷笑]
北往	第1集	169708	1	荣英老师[鼓掌][鼓掌][鼓掌]
那年冬至	第2集	145599	0	还是宝宝龙
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	8704	3	刚看完第二季 太棒啦
撕夜	第3集	4522	0	[KISS][KISS][KISS]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	129585	0	6哈，这老五太可爱了
幸得相遇离婚时	第3集	17430	0	4刷
撕夜	第1集	166308	0	还说都杀了呢，都杀了可能被剪掉了。第1次看的时候没有被剪掉
撕夜	第4集	106138	0	台词不对啊。我准备那么多，咋对不上
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	9431	0	太奶3，我等你好久了。你刚一上线就来看了
北往	第1集	46277	0	[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	164103	0	[捂脸][捂脸][捂脸][捂脸]
幸得相遇离婚时	第2集	118794	1	真的好好看
家里家外	第2集	143767	0	贺子秋？
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	192584	0	像极了我上学时我奶奶和我说的话
撕夜	第1集	43795	4	一秒变脸666
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	173826	45	哇哦
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	145579	0	笑死我了[偷笑]
家里家外	第2集	264551	0	不是劳资蜀道山吗
那年冬至	第1集	103386	0	翅翅这样看起来好乖[爱慕][爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	75734	0	？
那年冬至	第1集	19356	0	翅翅好帅！
北往	第2集	20044	0	人在囚途吗
家里家外	第2集	160477	0	还是重庆方言好听[捂脸]
荒年全村啃树皮，我有系统满仓肉	第5集	22357	0	嗯
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	114176	0	真会说
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	265466	0	把蛋仔派对的名字发我 快点 我要跟你一起打
北往	第1集	233187	0	比现在有的长剧强多了
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	53257	0	老四厉害
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	215246	6	[笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	235240	0	书包：？
那年冬至	第1集	103490	0	我去看下大结局[捂脸]一会回来
那年冬至	第2集	161916	0	小卡小卡宝宝龙 有眼光[偷笑]
天下第一纨绔	第5集	83146	0	让你走了吗
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	141284	0	[求爆更][求爆更][求爆更]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	5345	0	添添
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	231589	0	才到会这样
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	87667	0	[没看够][没看够][没看够]
家里家外	第2集	249489	14	我是耙耳朵
撕夜	第4集	163309	0	[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	126513	2	牛[赞][赞][赞]
北往	第3集	97553	0	这女的是哪的口音
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	233405	0	哇哈哈
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	31188	0	终于等到了[爽]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	246627	0	可爱
家里家外	第3集	123540	0	[奸笑]
北往	第1集	59031	8	这老板是个好老板[赞][赞][赞][赞][赞]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	68128	0	[赞]
家里家外	第5集	13660	6	手写存折很真实
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	35626	0	小少爷叫……大为[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	59732	0	哈哈哈，我自己还是个宝宝呢
那年冬至	第4集	74807	0	[偷笑][偷笑][偷笑]
幸得相遇离婚时	第5集	73648	0	等你娶她，人家结婚了，兄弟
天下第一纨绔	第1集	280469	0	比别人百万雄狮的人都多[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	179182	0	行[捂脸][笑哭]
天下第一纨绔	第1集	296035	0	三分归元气[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	8861	0	好可爱[爱慕]
天下第一纨绔	第1集	66243	0	柳如烟
那年冬至	第2集	154872	0	我也喜欢
家里家外	第2集	197141	0	超爱她的男人来了
撕夜	第4集	164823	27	[石化][石化][石化]
天下第一纨绔	第5集	89907	0	这穗子太长了吧
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	199056	0	《肃然起敬》
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	259950	0	哈哈哈 确实打的不轻啊[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	189796	147	相信光
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	97026	0	啊啊啊啊
撕夜	第3集	19283	0	三刷了[捂脸]
荒年全村啃树皮，我有系统满仓肉	第3集	55886	1	[爱慕][飞吻][送心][舔屏][爱心]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	242452	0	一见钟情。[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	138887	0	如果让国家队知道，那国家队指定强
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	74846	0	瓜
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	33931	0	细节拉布布[爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	201586	0	是不是5岁的时候就是这样的[捂脸]
北往	第2集	116670	0	苦衷姐
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	201628	0	俺不中了
那年冬至	第3集	98683	0	好可爱
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	14615	0	[鼓掌][送花][爽]
天下第一纨绔	第1集	287920	0	[赞][赞][赞]
那年冬至	第2集	39443	0	很漂亮很可爱哎[偷笑]
北往	第4集	53042	0	会预判了
那年冬至	第3集	73858	0	[笑哭][笑哭][笑哭]
家里家外	第1集	91380	0	看2前先把1温习一下[笑哭]
幸得相遇离婚时	第2集	107962	1	以为老刘脱自己的外套呢
家里家外	第1集	5471	0	二刷
那年冬至	第5集	14747	0	很用心作的一部剧 好看
那年冬至	第5集	70613	0	确定这辈子都不叫吗？
家里家外	第1集	96351	0	好看吗
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	184057	8	笑不活了[捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	127513	0	[没看够]
那年冬至	第4集	77674	0	“吓死宝宝了”哈哈哈哈哈
那年冬至	第1集	87982	0	期待已久了
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	63056	0	还小王子，我呸。
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	92171	0	哈哈哈哈哈婴儿油
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	84716	0	看到这一幕想起了一部剧年轻小伙爱上大妈
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	89831	36	现在的技术，孩子在肚子里也可以做DNA检测吧。
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	129841	0	[捂脸][捂脸]
天下第一纨绔	第3集	100731	0	捧杀
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	201466	0	[爱心][爱心][爱心]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	187570	0	哈哈哈
北往	第3集	138891	0	[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	221914	0	笑死我了
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	27100	0	这个bgm[笑哭][笑哭]
北往	第5集	133729	15	忍不住笑[笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	105423	0	救命[捂脸]
撕夜	第3集	43628	0	[没看够][没看够][没看够][没看够][没看够][没看够][没看够][没看够][没看够][没看够]
北往	第4集	24802	0	晦气呀
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	194865	0	哈哈哈哈要相信光[送花][害羞][害羞][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	223309	0	俺不中
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	22242	0	傻了[恐惧]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	170053	0	八十岁的大孩子，哈哈哈
荒年全村啃树皮，我有系统满仓肉	第2集	49507	0	剧组是挺好看，不过是现代的
北往	第2集	61541	1	太帅了
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	13409	0	终于上了
家里家外	第3集	53764	0	冲着这方言来的[捂脸][爽]
撕夜	第1集	108070	2	前方高能
天下第一纨绔	第3集	100106	0	后母故意养废的
撕夜	第1集	10212	0	听他们说很好看，我也来看了。我是鹿单东的粉丝
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	4447	0	终于来了
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	15919	0	人怎么能可爱成这样呢[爱慕][爱慕]
天下第一纨绔	第5集	42148	1	[笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	78235	0	好啊
那年冬至	第1集	111534	0	主要还有五千万可以拿
那年冬至	第3集	56501	0	[没看够][没看够][没看够]
北往	第3集	75895	1	她有苦衷的
撕夜	第5集	10298	0	一样呗[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	234933	0	我前面以为那个才是三少爷
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	226105	0	身上全是花[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	100507	0	英宝！
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	94420	0	[笑哭][笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	100242	0	帅老头耶[送花]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	268887	0	王培延表情包好绝丫[笑哭]
撕夜	第3集	130388	0	啊！！！！
北往	第1集	58504	14	这个老板可以
北往	第4集	51641	0	帕塔舒晕，提前准备好首饰了[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	94576	0	[没看够]
天下第一纨绔	第1集	17417	1	背景音乐：双面燕洵
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	99378	0	英宝来了
